fecha,n1,n2,n3,n4,n5,n6,c,r,hash,hash_simple,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,tmed,prec,tmin,horatmin,tmax,horatmax,sol,presMax,horaPresMax,presMin,horaPresMin,hrMedia
1986-01-09 21:30:00,2,6,8,10,30,48,41,0,281476050453828,20608103048,0,1,0,0,0,1,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"2,1","0,0","-1,2",06:30,"5,4",17:00,"2,0","953,4",24,"944,4",00,90.0
1986-01-16 21:30:00,2,14,32,36,41,48,44,0,283747014426628,21432364148,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"8,0","0,0","4,0",23:59,"12,0",14:00,"5,7","950,6",10,"947,7",00,62.0
1986-01-23 21:30:00,9,17,35,37,38,46,2,0,70815420908032,91735373846,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,"7,6","0,0","5,2",10:00,"10,0",17:00,"0,3","948,5",11,"945,1",21,70.0
1986-01-30 21:30:00,20,25,35,42,45,46,17,0,109985557118976,202535424546,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"3,4","0,0","1,2",06:30,"5,6",14:00,"6,9","920,9",00,"915,2",04,53.0
1986-02-06 21:30:00,13,14,23,41,47,48,30,0,424411496734720,131423414748,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,"3,8","0,0","-0,7",08:00,"8,3",14:00,"7,4","936,9",23,"934,3",15,64.0
1986-02-13 21:30:00,5,18,21,28,35,48,11,0,281509607243808,51821283548,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"6,3","11,9","3,6",03:00,"9,0",15:50,"0,5","943,0",00,"934,7",24,85.0
1986-02-20 21:30:00,15,18,39,42,43,49,48,0,576693849063424,151839424349,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"6,4","5,8","3,4",06:00,"9,4",15:00,"1,1","935,8",00,"930,7",24,85.0
1986-02-27 21:30:00,3,26,28,31,46,49,27,0,633321180626952,32628314649,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,"9,5","0,0","6,4",06:00,"12,6",14:15,"2,1","936,7",09,"933,3",16,69.0
1986-03-06 21:30:00,4,10,15,34,35,36,6,0,120259118096,41015343536,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"12,3","0,0","7,8",06:55,"16,8",13:50,"9,9","938,9",24,"934,2",05,47.0
1986-03-13 21:30:00,1,4,12,13,38,45,32,0,35459250008082,10412133845,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"6,7","0,0","3,0",05:30,"10,4",13:50,"5,3","945,8",24,"936,0",02,52.0
